date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
20240822,78300,3,0,0.00,8138752,152259,-937901,-175582,485762,3358830711,56.26,373805,37485,2927
20240821,78300,5,-600,-0.76,7799774,-200013,24803,-70499,152840,3357971144,56.25,-88399,11227,878
20240820,78900,2,600,0.77,10213542,-783354,-1060351,6133,918352,3357906703,56.25,10331,5113,405
20240819,78300,5,-1900,-2.37,14124565,1735237,134441,-995169,-473472,3356978020,56.23,-1112469,6504,509
20240816,80200,2,3000,3.89,20895904,-7324889,-993805,4628772,1911883,3358563961,56.26,4626870,63672,5048
20240814,77200,2,1100,1.45,13176220,-2154441,-928285,1357217,697682,3352025208,56.15,1416317,73153,5651
20240813,76100,2,600,0.79,10696333,-1579019,-568949,1491290,366354,3349911209,56.11,1716690,13720,1042
20240812,75500,2,800,1.07,9629370,-539380,-431124,-69985,543883,3347828165,56.08,-216025,14656,1108
