date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
20221229,3450,2,115,3.45,90981266,-26292458,14075057,12573404,0,45498272,6.64,12573404,0,0
20221228,3335,2,70,2.14,87565402,-19124646,7504060,11890625,0,32924868,4.81,11890625,0,0
20221227,3265,5,-40,-1.21,71716330,2523893,-7192699,4751892,0,21034243,3.06,6751892,0,0
20221226,3305,5,-5,-0.15,58907007,2482812,1567484,-3965210,0,14282351,2.03,-3965210,0,0
20221223,3310,2,110,3.44,103852835,-24032046,19508187,5547014,0,18247561,2.61,5547014,0,0
20221222,3200,5,-85,-2.59,97713742,17118562,-4522288,-12586222,0,12700547,1.77,-16286222,0,0
20221221,3285,2,20,0.61,85382616,-14901897,16706414,-1631195,0,28986769,3.92,-1631195,0,0
20221220,3265,2,55,1.71,185266376,-23529478,21259860,2644760,0,30617964,4.12,2644760,0,0
20221219,3210,2,5,0.16,102500621,-9775790,5538935,4349852,0,27973204,3.71,249852,0,0
20221216,3205,2,30,0.94,165165385,-16934635,13814681,3214504,0,27723352,3.70,6214504,0,0
20221215,3175,2,100,3.25,107209460,-8799366,4895154,4005003,0,21508848,2.82,4005003,0,0
20221214,3075,5,-65,-2.07,134744254,22523329,-11902294,-11053516,0,17503845,2.29,-16053516,0,0
20221213,3140,2,5,0.16,102421436,-23431794,12227430,11838615,0,33557361,4.37,3838615,0,0
20221212,3135,2,40,1.29,92955826,5254097,-2925828,-2397849,0,29718746,3.81,-10397849,0,0
20221209,3095,5,-80,-2.52,142481906,-818805,-3985991,4852451,0,40116595,5.08,-3147549,0,0
20221208,3175,2,5,0.16,99102812,-11540987,5761808,5795809,0,43264144,5.42,-2204191,0,0
20221207,3170,2,30,0.96,154607468,-10940608,2570360,8958304,0,45468335,5.61,1958304,0,0
20221206,3140,2,80,2.61,131107999,-20417093,-559743,21561989,0,43510031,5.18,13561989,0,0
20221205,3060,2,20,0.66,131411741,-8314838,4041516,4570545,0,29948042,3.53,-3429455,0,0
20221202,3040,2,130,4.47,118873475,-30307703,25847036,4844316,0,33377497,4.06,10844316,0,0
20221201,2910,5,-35,-1.19,141643827,-15691927,685779,15243675,0,22533181,2.84,22533181,0,0
20221130,2945,5,-85,-2.81,149785510,31519533,-26330045,-6260000,0,0,0.00,-8549506,0,0
20221129,3030,5,-70,-2.26,126100288,26369833,-17546050,-9319211,0,8549506,1.07,-9319211,0,0
20221128,3100,2,80,2.65,119145849,-1544866,142165,1646050,0,17868717,2.24,2146050,0,0
20221125,3020,2,20,0.67,76837763,-2280636,2784430,-493527,0,15722667,1.98,-5493527,0,0
20221124,3000,5,-55,-1.80,102751916,6463125,-3803801,-2272022,0,21216194,2.63,-4272022,0,0
20221123,3055,5,-35,-1.13,108398190,2029332,-5973549,4186732,0,25488216,3.16,1186732,0,0
20221122,3090,2,40,1.31,144048883,-17665327,7979359,10134774,0,24301484,3.03,10134774,0,0
20221121,3050,2,50,1.67,123492808,-1929958,-1244171,3552957,0,14166710,1.75,5352957,0,0
20221118,3000,2,15,0.50,155181342,5346840,-2939491,-2368731,0,8813753,1.11,-2068731,0,0
20221117,2985,2,75,2.58,120585778,-1102527,3578733,-2976036,0,10882484,1.36,-6976036,0,0
20221116,2910,2,10,0.34,180549331,12197553,-10129158,-2578219,0,17858520,2.25,-6578219,0,0
