date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
20221229,6130,5,-245,-3.84,22172873,3872165,-4268073,286120,0,436874,0.28,286120,0,0
20221228,6375,5,-370,-5.49,26752848,6534495,-6148216,-258461,0,150754,0.10,-258461,0,0
20221227,6745,2,195,2.98,22666753,-2561431,2583302,231148,0,409215,0.28,231148,0,0
20221226,6550,2,195,3.07,22012497,-495450,460746,-214576,0,178067,0.13,-214576,0,0
20221223,6355,5,-510,-7.43,30700616,12563022,-12864024,-119513,0,392643,0.27,-119513,0,0
20221222,6865,2,315,4.81,16158447,-3870006,3745199,171004,0,512156,0.36,171004,0,0
20221221,6550,2,90,1.39,15339940,-46700,153271,-92394,0,341152,0.25,-92394,0,0
20221220,6460,5,-290,-4.30,18563075,3550235,-3369612,-263634,0,433546,0.31,-263634,0,0
20221219,6750,2,30,0.45,12641645,-41975,-247112,361175,0,697180,0.50,361175,0,0
20221216,6720,5,-205,-2.96,15512276,2042973,-1837286,-259399,0,336005,0.24,-259399,0,0
20221215,6925,5,-235,-3.28,15212488,2439253,-2483968,132289,0,595404,0.44,132289,0,0
20221214,7160,2,305,4.45,14924319,-3042907,2831680,81510,0,463115,0.35,81510,0,0
20221213,6855,2,50,0.73,12359514,881657,-983220,133411,0,381605,0.28,133411,0,0
20221212,6805,5,-195,-2.79,11366186,1486442,-1730376,190750,0,248194,0.19,190750,0,0
20221209,7000,2,105,1.52,17791488,-411476,831750,-380445,0,57444,0.04,-380445,0,0
20221208,6895,3,0,0.00,11386587,1273160,-1561057,280897,0,437889,0.33,280897,0,0
20221207,6895,3,0,0.00,18552046,640119,-156220,-534916,0,156992,0.12,-534916,0,0
20221206,6895,5,-305,-4.24,15630056,3730583,-3933999,181895,0,691908,0.54,181895,0,0
20221205,7200,2,90,1.27,19289630,-935543,992956,-40743,0,510013,0.39,-40743,0,0
20221202,7110,5,-325,-4.37,15813430,1480572,-1554441,-84124,0,550756,0.43,-84124,0,0
20221201,7435,2,300,4.20,27359516,-2182204,2450392,-30169,0,634880,0.49,-30169,0,0
20221130,7135,3,0,0.00,16552944,98384,-530307,419376,0,665049,0.51,419376,0,0
20221129,7135,2,245,3.56,17523937,-1360509,1664908,-110971,0,245673,0.19,-110971,0,0
20221128,6890,5,-330,-4.57,15060531,2744646,-2246570,-609317,0,356644,0.27,-609317,0,0
20221125,7220,5,-200,-2.70,13982409,1390506,-1811242,331347,0,965961,0.72,331347,0,0
20221124,7420,2,275,3.85,18335469,-1132526,1533268,-309684,0,634614,0.49,-309684,0,0
20221123,7145,2,315,4.61,16018461,-3426724,3346729,120815,0,944298,0.75,120815,0,0
20221122,6830,5,-180,-2.57,17738063,2400338,-2477981,16071,0,823483,0.64,16071,0,0
20221121,7010,5,-330,-4.50,17027210,2887630,-3059657,41484,0,807412,0.61,41484,0,0
20221118,7340,5,-185,-2.46,16974187,795853,-647864,-212789,0,765928,0.59,-212789,0,0
20221117,7525,5,-165,-2.15,18420471,972630,-872552,-129750,0,978717,0.74,-129750,0,0
20221116,7690,5,-70,-0.90,24077346,712259,-884414,214578,0,1108467,0.82,214578,0,0
20221115,7760,2,455,6.23,22991753,-4649989,4697011,92685,0,893889,0.63,92685,0,0
20221114,7305,5,-155,-2.08,17613698,-1084788,1180087,-37918,0,801204,0.58,-37918,0,0
20221111,7460,2,760,11.34,36145909,-9189608,9324254,-65653,0,839122,0.59,-65653,0,0
20221110,6700,5,-230,-3.32,16177619,779411,-784298,17121,0,904775,0.63,17121,0,0
20221109,6930,5,-40,-0.57,22322239,-1803340,2241652,-301005,0,887654,0.60,-301005,0,0
