,date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
185,20221025,57700,2,200,0.35,17405678,37540679,-28658329,-10143795,-15946453,2964563086,49.66,-7041222,27254350,1556512
186,20221024,57500,2,1600,2.86,16944503,39653912,-29975398,-10945738,-15395958,2963580143,49.64,-8024165,26533047,1515403
187,20221021,55900,2,400,0.72,11456060,44819979,-31555700,-14571434,-16725689,2960004180,49.58,-11600128,25976369,1484314
188,20221020,55500,5,-300,-0.54,17107653,46272587,-32800141,-14784644,-17784832,2960179870,49.59,-11424438,25054477,1433151
189,20221019,55800,5,-700,-1.24,12660652,45936001,-31319118,-15937927,-16040512,2958575087,49.56,-13029221,24483985,1401049
190,20221018,56500,5,-100,-0.18,14820702,44846998,-31167464,-14998596,-15806987,2960662653,49.59,-10941655,23718806,1357867
191,20221017,56600,2,300,0.53,13641878,43235664,-30778804,-13748466,-13715025,2958160398,49.55,-13443910,23055124,1320416
192,20221014,56300,2,1100,1.99,12924326,44510754,-29525335,-16352830,-15759812,2955958687,49.52,-15645621,22117652,1267724
193,20221013,55200,5,-600,-1.08,13784602,45879638,-30706961,-16559755,-16660301,2955615252,49.51,-15989056,21418996,1228910
194,20221012,55800,2,400,0.72,18408910,45606189,-29757564,-17155569,-15557162,2955388868,49.51,-16215440,20272743,1164601
195,20221011,55400,5,-800,-1.42,21437877,46265508,-29633177,-17917905,-15520920,2952967944,49.47,-18636364,19420077,1117937
196,20221007,56200,5,-100,-0.18,16886813,45755566,-28877708,-18192043,-15782667,2952555506,49.46,-19048802,18378699,1059401
197,20221006,56300,2,300,0.54,14944446,46806379,-28516236,-19660130,-16014803,2951334517,49.44,-20269791,17754749,1023978
198,20221005,56000,2,800,1.45,22458970,48131495,-28036599,-21538066,-15493525,2949979581,49.42,-21624727,16824180,971707
199,20221004,55200,2,2100,3.95,19148435,49670847,-25592485,-25529025,-14999557,2945767622,49.34,-25836686,16209632,937777
200,20220930,53100,2,500,0.95,22503249,53737056,-25307070,-29912451,-18210843,2941181170,49.27,-30423138,15743829,913317
201,20220929,52600,5,-300,-0.57,13882080,55600297,-25891476,-31198945,-21336040,2939724022,49.24,-31880286,15429488,896605
202,20220928,52900,5,-1300,-2.40,19991129,55239103,-25716729,-30999807,-21051457,2940716074,49.26,-30888234,14411052,842534
203,20220927,54200,2,300,0.56,16631289,52554025,-25415403,-28561087,-19509159,2943062542,49.30,-28541766,14074179,824353
204,20220926,53900,5,-600,-1.10,15008449,52898674,-27162779,-27196464,-18124031,2943617219,49.31,-27987089,13569158,797172
205,20220923,54500,2,100,0.18,10555964,53426746,-29899168,-25002381,-15258688,2945888782,49.35,-25715526,13274831,781145
206,20220922,54400,5,-900,-1.63,12786510,53383781,-28874447,-25940347,-15571632,2944596606,49.33,-27007702,13046474,768713
207,20220921,55300,5,-500,-0.90,11863700,49676323,-27044347,-23917260,-14340265,2946955333,49.36,-24648975,12805772,755410
208,20220920,55800,5,-600,-1.06,14041465,46453875,-26802199,-20880831,-13727107,2950760762,49.43,-20843546,12718338,750500
209,20220919,56400,2,200,0.36,12278653,44080655,-27742737,-17477023,-13024415,2954064340,49.48,-17539968,12503221,738364
210,20220916,56200,2,200,0.36,13456503,44161050,-28489264,-16761286,-14345930,2954444957,49.49,-17159351,12117359,716806
211,20220915,56000,5,-800,-1.41,11664819,42243410,-26812386,-16493909,-13026761,2955038684,49.50,-16565624,11201789,665280
212,20220914,56800,5,-1300,-2.24,12524961,38481996,-25752016,-13661719,-11593233,2957697174,49.54,-13907134,10981236,652778
213,20220913,58100,2,2500,4.50,17166581,37045866,-24406785,-13566903,-11602515,2957674824,49.54,-13929484,10877678,646796
214,20220908,55600,5,-400,-0.71,18000016,41548350,-27603379,-14880357,-12902107,2956552587,49.53,-15051721,10411139,620709
215,20220907,56000,5,-1100,-1.93,17384854,37592931,-29724474,-8921480,-10001573,2962475920,49.62,-9128388,9963084,595589
216,20220906,57100,3,0,0.00,7503086,31915190,-28564993,-4317888,-8450858,2967411152,49.71,-4193156,9937941,594153
217,20220905,57100,5,-400,-0.70,11425977,30742688,-28098236,-3592480,-8273678,2968024377,49.72,-3579931,9585225,573890
218,20220902,57500,5,-900,-1.54,15040310,29035254,-28802267,-1103456,-6530889,2970775551,49.76,-828757,8798078,528304
219,20220901,58400,5,-1300,-2.18,14905777,23631652,-27172245,2801192,-3956712,2974218467,49.82,2614159,6795705,411096
220,20220831,59700,2,900,1.53,14203512,19247931,-23302648,3369179,-1780738,2974643754,49.83,3039446,6089217,369278
