date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
20221229,12805,5,-480,-3.61,18306241,3703971,-3248809,-571027,0,56568,0.04,-171027,0,0
20221228,13285,5,-275,-2.03,16378432,2235121,-1599598,-688470,0,227595,0.16,-1088470,0,0
20221227,13560,2,185,1.38,17776955,-772417,805734,155566,0,1316065,0.91,155566,0,0
20221226,13375,3,0,0.00,10881566,-288532,-14282,294974,0,1160499,0.85,294974,0,0
20221223,13375,5,-470,-3.39,21293163,2387792,-2166907,-326450,0,865525,0.60,-726450,0,0
20221222,13845,2,345,2.56,17465021,-2928219,2979921,47130,0,1591975,1.12,47130,0,0
20221221,13500,5,-70,-0.52,17982317,2117713,-2336524,152420,0,1544845,1.13,152420,0,0
20221220,13570,5,-235,-1.70,23602372,1102691,-1392705,249701,0,1392425,0.97,249701,0,0
20221219,13805,5,-15,-0.11,12007205,465622,-281802,-237178,0,1142724,0.82,-337178,0,0
20221216,13820,5,-145,-1.04,19526268,-1197421,1117897,54777,0,1479902,1.04,54777,0,0
20221215,13965,5,-470,-3.26,21988612,3180662,-3239327,-37478,0,1425125,1.03,-37478,0,0
20221214,14435,2,300,2.12,20171316,-2334544,2563276,-114993,0,1462603,1.11,-514993,0,0
20221213,14135,5,-20,-0.14,22732643,2357808,-2626383,261279,0,1977596,1.42,661279,0,0
20221212,14155,5,-195,-1.36,16904082,-916145,394948,539438,0,1316317,0.97,539438,0,0
20221209,14350,2,335,2.39,33161779,-1319808,2149310,-849257,0,776879,0.59,-449257,0,0
20221208,14015,5,-20,-0.14,21144388,912123,-1230670,313674,0,1226136,0.93,863674,0,0
20221207,14035,5,-150,-1.06,23524093,477883,-579513,-21709,0,362462,0.28,362462,0,0
20221206,14185,5,-365,-2.51,22234025,1802838,-1263461,-588186,0,0,0.00,-72357,0,0
20221205,14550,5,-105,-0.72,29973001,1134123,-178888,-929058,0,72357,0.06,-529058,0,0
20221202,14655,5,-685,-4.47,26565889,4180201,-3432346,-812175,0,601415,0.48,-812175,0,0
20221201,15340,2,190,1.25,28020474,371849,-292434,-83317,0,1413590,1.10,-83317,0,0
20221130,15150,2,435,2.96,20985242,-2192829,1681288,526813,0,1496907,1.13,526813,0,0
20221129,14715,2,320,2.22,15771101,-1018380,2036293,-1019577,0,970094,0.77,-1019577,0,0
20221128,14395,5,-365,-2.47,20335730,284296,318058,-608965,0,1989671,1.53,-608965,0,0
20221125,14760,5,-135,-0.91,15578566,199214,-1205077,1005777,0,2598636,1.91,805777,0,0
20221124,14895,2,285,1.95,22971864,-464038,1413654,-973813,0,1792859,1.38,-1173813,0,0
20221123,14610,2,190,1.32,26968755,-1763678,1796428,-19982,0,2966672,2.17,-219982,0,0
20221122,14420,5,-215,-1.47,26500512,2221775,-2071253,-142551,0,3186654,2.45,-142551,0,0
20221121,14635,5,-250,-1.68,23914527,213051,-710049,463842,0,3329205,2.42,263842,0,0
20221118,14885,5,-60,-0.40,28042925,-259198,-181784,411176,0,3065363,2.32,-88824,0,0
20221117,14945,5,-410,-2.67,28191534,1709960,-2003198,358979,0,3154187,2.27,358979,0,0
20221116,15355,5,-65,-0.42,35656868,-1146815,350584,789843,0,2795208,2.09,589843,0,0
20221115,15420,2,130,0.85,21751057,-894101,1523494,-627410,0,2205365,1.53,-827410,0,0
20221114,15290,5,-240,-1.55,23595873,-454335,-385756,906711,0,3032775,2.18,906711,0,0
20221111,15530,2,1120,7.77,40794216,-4963576,5528436,-277884,0,2126064,1.60,-677884,0,0
20221110,14410,5,-340,-2.31,28445545,1689148,-2024474,312192,0,2803948,2.05,312192,0,0
20221109,14750,2,295,2.04,33725652,-2061299,1371890,754207,0,2491756,1.75,754207,0,0
20221108,14455,2,400,2.85,31096039,-2711908,2799260,-22447,0,1737549,1.16,-22447,0,0
