date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value,shcode
20221124,14895,2,285,1.95,22971864,-464038,1413654,-973813,0,1792859,1.38,-1173813,0,0,122630
20221123,14610,2,190,1.32,26968755,-1763678,1796428,-19982,0,2966672,2.17,-219982,0,0,122630
20221122,14420,5,-215,-1.47,26500512,2221775,-2071253,-142551,0,3186654,2.45,-142551,0,0,122630
20221121,14635,5,-250,-1.68,23914527,213051,-710049,463842,0,3329205,2.42,263842,0,0,122630
20221118,14885,5,-60,-0.40,28042925,-259198,-181784,411176,0,3065363,2.32,-88824,0,0,122630
20221117,14945,5,-410,-2.67,28191534,1709960,-2003198,358979,0,3154187,2.27,358979,0,0,122630
20221116,15355,5,-65,-0.42,35656868,-1146815,350584,789843,0,2795208,2.09,589843,0,0,122630
20221115,15420,2,130,0.85,21751057,-894101,1523494,-627410,0,2205365,1.53,-827410,0,0,122630
20221114,15290,5,-240,-1.55,23595873,-454335,-385756,906711,0,3032775,2.18,906711,0,0,122630
20221111,15530,2,1120,7.77,40794216,-4963576,5528436,-277884,0,2126064,1.60,-677884,0,0,122630
20221110,14410,5,-340,-2.31,28445545,1689148,-2024474,312192,0,2803948,2.05,312192,0,0,122630
20221109,14750,2,295,2.04,33725652,-2061299,1371890,754207,0,2491756,1.75,754207,0,0,122630
20221108,14455,2,400,2.85,31096039,-2711908,2799260,-22447,0,1737549,1.16,-22447,0,0,122630
20221107,14055,2,320,2.33,32540602,-3929523,4391511,-274369,0,1759996,1.23,-74369,0,0,122630
20221104,13735,2,220,1.63,29732910,-2382291,2007884,421145,0,1834365,1.25,421145,0,0,122630
20221103,13515,5,-170,-1.24,31935141,318070,-323598,62903,0,1413220,0.93,62903,0,0,122630
20221102,13685,5,-30,-0.22,23864778,-2999193,3067087,-62272,0,1350317,0.84,-62272,0,0,122630
20221101,13715,2,380,2.85,29783900,-6019093,5637576,576328,0,1412589,0.91,276328,0,0,122630
20221031,13335,2,400,3.09,28950697,-1909076,2932400,-980305,0,1136261,0.70,-980305,0,0,122630
20221028,12935,5,-345,-2.60,25503830,583734,-1202692,613945,0,2116566,1.30,263945,0,0,122630
20221027,13280,2,445,3.47,30902889,-3449899,4380590,-666767,0,1852621,1.14,-666767,0,0,122630
20221026,12835,2,170,1.34,32072080,-5728994,4504088,1439694,0,2519388,1.51,1839694,0,0,122630
20221025,12665,2,40,0.32,35804520,-364629,367092,15980,0,679694,0.39,15980,0,0,122630
20221024,12625,2,240,1.94,34789630,890635,-139382,-739072,0,663714,0.39,-889072,0,0,122630
20221021,12385,2,50,0.41,27264275,-1116965,1277615,-160222,0,1552786,0.96,-110222,0,0,122630
20221020,12335,5,-260,-2.06,41432134,883130,-1289816,430855,0,1663008,0.99,880855,0,0,122630
20221019,12595,5,-210,-1.64,38916502,-318632,-216171,458773,0,782153,0.48,758773,0,0,122630
20221018,12805,2,330,2.65,38660056,-336066,568792,-201668,0,23380,0.01,23380,0,0,122630
20221017,12475,5,-5,-0.04,25454652,-42895,347776,-339021,0,0,0.00,0,0,0,122630
20221014,12480,2,580,4.87,29894677,-3033637,3745531,-715358,0,0,0.00,-179427,0,0,122630
20221013,11900,5,-375,-3.05,25150469,3078916,-2972664,-126796,0,179427,0.10,-126796,0,0,122630
20221012,12275,2,200,1.66,33269027,-730059,2195665,-1423664,0,306223,0.18,-1423664,0,0,122630
20221011,12075,5,-500,-3.98,33997225,1329888,-1283502,-104594,0,1729887,0.99,-104594,0,0,122630
20221007,12575,5,-110,-0.87,27399661,-950681,276678,698766,0,1834481,1.09,698766,0,0,122630
20221006,12685,2,255,2.05,36735834,-3239893,3902473,-631180,0,1135715,0.65,-631180,0,0,122630
20221005,12430,5,-15,-0.12,39269519,-1989054,615967,1410046,0,1766895,1.00,1410046,0,0,122630
20221004,12445,2,605,5.11,32950708,-439643,2824434,-2342024,0,356849,0.20,-2342024,0,0,122630
20220930,11840,5,-130,-1.09,55876774,-633172,-144884,739750,0,2698873,1.53,939750,0,0,122630
20220929,11970,2,15,0.13,43113981,91995,1285007,-1379599,0,1759123,1.02,-1379599,0,0,122630
20220928,11955,5,-615,-4.89,59438829,4052164,-4885973,712298,0,3138722,1.87,712298,0,0,122630
20220927,12570,2,55,0.44,38682053,3782197,-2791905,-1074993,0,2426424,1.49,-1074993,0,0,122630
20220926,12515,5,-665,-5.05,39022214,6933447,-7984735,848864,0,3501417,2.22,848864,0,0,122630
20220923,13180,5,-335,-2.48,26913446,4779747,-4382288,-525609,0,2652553,1.76,-525609,0,0,122630
20220922,13515,5,-310,-2.24,27879499,1927559,-2034894,38811,0,3178162,2.03,38811,0,0,122630
20220921,13825,5,-255,-1.81,21993800,3228288,-3005060,-263126,0,3139351,2.04,-263126,0,0,122630
20220920,14080,2,100,0.72,21497336,-326665,797956,-467638,0,3402477,2.27,-467638,0,0,122630
20220919,13980,5,-185,-1.31,21917571,2371228,-2499986,51419,0,3870115,2.69,51419,0,0,122630
20220916,14165,5,-235,-1.63,18114600,1583599,-2464135,834788,0,3818696,2.77,834788,0,0,122630
20220915,14400,5,-170,-1.17,17793752,2166356,-2171590,-35647,0,2983908,2.06,-435647,0,0,122630
20220914,14570,5,-600,-3.96,27123300,843946,-876814,49488,0,3419555,2.30,-250512,0,0,122630
20220913,15170,2,890,6.23,24070343,-7645564,7171577,630631,0,3670067,2.55,635631,0,0,122630
20220908,14280,2,70,0.49,22736726,687382,-1136462,494367,0,3034436,2.16,694367,0,0,122630
20220907,14210,5,-415,-2.84,30747396,4834900,-5567841,551206,0,2340069,1.61,551206,0,0,122630
20220906,14625,2,5,0.03,22557031,1526935,-1549664,5706,0,1788863,1.28,205706,0,0,122630
20220905,14620,3,0,0.00,22465883,-237089,446569,-156428,0,1583157,1.19,-156428,0,0,122630
20220902,14620,5,-155,-1.05,26139881,1440842,-1380680,-157895,0,1739585,1.28,-157895,0,0,122630
20220901,14775,5,-735,-4.74,26337404,6404448,-6744515,246037,0,1897480,1.32,46037,0,0,122630
20220831,15510,2,220,1.44,20616200,-108421,538524,-429946,0,1851443,1.32,-829946,0,0,122630
20220830,15290,2,320,2.14,16748440,-1271031,2249340,-940243,0,2681389,2.01,-940243,0,0,122630
20220829,14970,5,-750,-4.77,19459348,1860335,-3530681,1660303,0,3621632,2.61,1860303,0,0,122630
20220826,15720,2,15,0.10,15454712,-251469,135410,144802,0,1761329,1.22,344802,0,0,122630
20220825,15705,2,370,2.41,15827923,-2198819,2719146,-483753,0,1416527,1.03,-683753,0,0,122630
20220824,15335,2,120,0.79,17096790,-11132,869747,-870974,0,2100280,1.44,-1270974,0,0,122630
20220823,15215,5,-400,-2.56,21784794,2385883,-3139002,660962,0,3371254,2.38,660962,0,0,122630
20220822,15615,5,-420,-2.62,17787376,661560,-720712,74850,0,2710292,1.95,-325150,0,0,122630
20220819,16035,5,-200,-1.23,15094655,414919,-1226198,798309,0,3035442,2.28,598309,0,0,122630
20220818,16235,5,-125,-0.76,18202707,32262,-472714,443813,0,2437133,1.92,243813,0,0,122630
20220817,16360,5,-170,-1.03,17277885,1144371,-1760281,551062,0,2193320,1.66,551062,0,0,122630
20220816,16530,2,95,0.58,16490523,259717,-625465,426180,0,1642258,1.17,26180,0,0,122630
20220812,16435,2,125,0.77,18673576,-1780351,2977210,-1144689,0,1616078,1.21,-1744689,0,0,122630
20220811,16310,2,520,3.29,21840168,-4276169,4258340,65180,0,3360767,2.38,-534820,0,0,122630
20220810,15790,5,-390,-2.41,19745146,2308160,-3706797,1363281,0,3895587,2.92,1763281,0,0,122630
20220809,16180,2,120,0.75,20693875,-2087745,2025507,109983,0,2132306,1.54,109983,0,0,122630
20220808,16060,5,-80,-0.50,13898686,452666,-1158096,661638,0,2022323,1.39,261638,0,0,122630
20220805,16140,2,220,1.38,20523546,-3525666,4192124,-356802,0,1760685,1.15,-956802,0,0,122630
20220804,15920,2,160,1.02,22002631,-1346673,1555417,-163922,0,2717487,1.83,-513922,0,0,122630
20220803,15760,2,205,1.32,19027203,-1708529,1562498,185415,0,3231409,2.27,-214585,0,0,122630
20220802,15555,5,-150,-0.96,20449364,521428,-1345894,869577,0,3445994,2.33,869577,0,0,122630
20220801,15705,5,-25,-0.16,22393212,-663045,707207,-61967,0,2576417,1.66,-461967,0,0,122630
20220729,15730,2,145,0.93,29840248,-2820663,2640364,235148,0,3038384,2.02,235148,0,0,122630
20220728,15585,2,190,1.23,30062444,-1813213,1811898,13173,0,2803236,1.86,-386827,0,0,122630
20220727,15395,5,-5,-0.03,22545475,1823156,-2437182,580972,0,3190063,2.11,580972,0,0,122630
20220726,15400,2,110,0.72,16064927,-691486,-60278,744812,0,2609091,1.78,344812,0,0,122630
